bond_code,bond_name,apply_date,apply_code,player_code,amount_per_stock,plan_amount,actual_amount,result_date,open_date,stock_code,stock_name,conver_price,winning_rate,end_date
113545,金能转债,2019/10/14,754113,753113,2.219,15.00亿,15.00亿,2019/10/16,-,603113,金能科技,11.55,0.035,2025/10/13
113546,迪贝转债,2019/10/23,754320,753320,2.299,2.30亿,2.30亿,2019/10/25,-,603320,迪贝电气,18.45,0.015,2025/10/22
113547,索发转债,2019/10/24,754612,753612,2.804,9.45亿,9.45亿,2019/10/28,-,603612,索通发展,10.67,0.023,2025/10/23
113548,石英转债,2019/10/28,754688,753688,1.078,3.60亿,3.60亿,2019/10/30,-,603688,石英股份,15.25,0.018,2025/10/27
123002,国祯转债,2017/11/24,370388,380388,1.953,5.97亿,5.97亿,2017/11/28,2017/12/25,300388,国祯环保,21.04,0.004,2023/11/24
123003,蓝思转债,2017/12/8,370433,380433,1.8335,48.00亿,48.00亿,2017/12/12,2018/1/17,300433,蓝思科技,36.59,0.33,2023/12/8
123004,铁汉转债,2017/12/18,370197,380197,0.7238,11.00亿,11.00亿,2017/12/20,2018/1/26,300197,铁汉生态,12.39,0.059,2023/12/18
123005,万信转债,2017/12/19,370168,380168,0.8728,9.00亿,9.00亿,2017/12/21,2018/1/30,300168,万达信息,13.11,0.081,2023/12/19
123006,东财转债,2017/12/20,370059,380059,1.0842,46.50亿,46.50亿,2017/12/22,2018/1/29,300059,东方财富,13.69,0.404,2023/12/20
123007,道氏转债,2017/12/28,370409,380409,2.2325,4.80亿,4.80亿,2018/1/2,2018/1/26,300409,道氏技术,15.2,0.072,2023/12/28
123008,康泰转债,2018/2/1,370601,380601,0.8453,3.56亿,3.56亿,2018/2/5,2018/3/19,300601,康泰生物,47.01,0.026,2024/2/1
123009,星源转债,2018/3/7,370568,380568,2.5,4.80亿,4.80亿,2018/3/9,2018/4/10,300568,星源材质,27.99,0.041,2024/3/7
123010,博世转债,2018/7/5,370422,380422,1.2084,4.30亿,4.30亿,2018/7/9,2018/8/14,300422,博世科,12.38,0.361,2024/7/5
123011,德尔转债,2018/7/18,370473,380473,5.3822,5.65亿,5.65亿,2018/7/19,2018/8/14,300473,德尔股份,34.66,0.325,2024/7/18
123012,万顺转债,2018/7/20,370057,380057,2.1607,9.50亿,9.50亿,2018/7/24,2018/8/29,300057,万顺新材,5.36,1.725,2024/7/20
123013,横河转债,2018/7/26,370539,380539,0.6698,1.40亿,1.40亿,2018/7/30,2018/8/20,300539,横河模具,9.22,0.15,2024/7/26
