Cust_ID,Bo_Age,Ln_Orig,Orig_LTV_Ratio_Pct,Credit_score,First_home,Tot_mthly_debt_exp,Tot_mthly_incm,orig_apprd_val_amt,pur_prc_amt,DTI Ratio,Status,OUTCOME,State,Median_state_inc,UPB>Appraisal
1461,37,275900,80,740,N,483,1690,58000,55000,0.285799,Active,non-default,AZ,"42,590",1
1462,50,111450,97,726,N,716,1732,55000,55000,0.413395,Active,non-default,NC,"39,000",1
1463,37,257600,80,659,N,502,1228,55500,55000,0.408795,Active,non-default,FL,"40,171",1
1464,30,139600,95,796,N,1051,3054,55000,55000,0.344139,Active,non-default,TN,"38,550",1
1465,67,307500,75,632,N,712,2737,60000,55000,0.260139,Active,non-default,PA,"44,286",1
1466,41,124000,90,581,Y,587,1027,55000,55000,0.571568,Active,non-default,VA,"53,275",1
1467,44,117000,90,658,N,511,5025,56000,55000,0.101698,Active,non-default,FL,"40,171",1
1468,31,126500,89,622,Y,582,2100,59500,55000,0.277143,Active,non-default,MI,"44,476",1
1469,60,223750,95,664,N,793,1888,55000,55000,0.420021,Active,non-default,PA,"44,286",1
1470,30,118000,100,678,N,1118,3293,83000,55000,0.339508,Active,non-default,OH,"44,160",1
1471,31,223155,95,700,N,889,2871,58000,55000,0.309648,Active,non-default,FL,"40,171",1
1472,51,140000,80,751,Y,463,3930,55500,55000,0.117812,Active,non-default,MO,"43,988",1
1473,43,203700,97,754,N,1575,2661,55000,55000,0.591883,Active,non-default,PA,"44,286",1
1474,37,205200,90,736,Y,1003,2253,55000,55000,0.445184,Active,non-default,IN,"43,003",1
1475,49,120000,69,698,N,556,3000,55000,55000,0.185333,Active,non-default,TN,"38,550",1
1476,29,336000,80,776,Y,424,1820,67000,55500,0.232967,Active,non-default,FL,"40,171",1
1477,37,99750,95,720,Y,790,1833,58000,55575,0.430987,Active,non-default,OK,"38,281",1
1478,29,335250,95,612,N,615,1329,56000,55900,0.462754,Active,non-default,TN,"38,550",1
1479,42,147000,100,746,Y,1017,3166,58000,56000,0.321226,Active,non-default,PA,"44,286",1
1480,25,176711,102,747,N,763,2505,56000,56000,0.304591,Active,non-default,AR,"33,948",1
1481,67,167400,90,624,Y,936,2875,56000,56000,0.325565,Active,non-default,FL,"40,171",1
1482,37,332500,95,728,N,662,1549,59000,56000,0.427372,Active,non-default,MI,"44,476",1
1483,37,380000,80,603,Y,586,1660,57200,56000,0.353012,Active,non-default,TX,"41,275",1
1484,40,295000,83,630,Y,613,2608,58000,56000,0.235046,Active,non-default,PA,"44,286",1
1485,37,107500,100,752,N,888,2322,56000,56000,0.382429,Active,non-default,NY,"44,228",1
1486,37,135450,95,715,N,1721,3129,56000,56000,0.550016,Active,non-default,TX,"41,275",1
1487,37,215000,85,729,Y,682,1999,57000,56000,0.341171,Active,non-default,IN,"43,003",1
1488,31,169200,90,716,N,345,1596,56000,56000,0.216165,Active,non-default,TN,"38,550",1
1489,37,189000,90,661,Y,635,1967,56500,56000,0.322827,Active,non-default,KS,"43,725",1
1490,37,236000,80,668,N,556,1733,69500,56300,0.320831,Active,non-default,TX,"41,275",1
1491,35,319623,102,568,Y,547,1580,59000,56350,0.346203,Active,non-default,NE,"44,623",1
1492,58,150000,76,658,N,536,1438,60000,56400,0.37274,Active,non-default,MI,"44,476",1
1493,37,166500,100,716,N,805,1962,57000,56500,0.410296,Active,non-default,OH,"44,160",1
1494,31,171720,95,737,N,1039,1865,57000,56500,0.557105,Active,non-default,AL,"38,111",1
1495,33,237100,95,722,N,487,4100,61000,56650,0.11878,Active,non-default,PA,"44,286",1
1496,30,90600,90,709,N,1406,3151,65000,56700,0.446208,Active,non-default,AL,"38,111",1
1497,59,187673,102,509,N,783,1837,56900,56900,0.426238,Active,non-default,VA,"53,275",1
1498,28,242910,90,571,N,446,1993,63000,57000,0.223783,Active,non-default,IN,"43,003",1
1499,33,225500,95,726,N,460,4191,59000,57000,0.109759,Active,non-default,AZ,"42,590",1
1500,32,98100,90,700,N,489,3813,59000,57000,0.128245,Active,non-default,VA,"53,275",1
1501,40,216000,90,636,Y,990,2788,58000,57000,0.355093,Active,non-default,AZ,"42,590",1
1502,28,240000,80,608,N,699,2027,59000,57000,0.344845,Active,non-default,NC,"39,000",1
1503,30,136600,97,662,N,1257,3650,60000,57000,0.344384,Active,non-default,OH,"44,160",1
1504,32,276000,95,628,N,560,2360,60000,57000,0.237288,Active,non-default,IL,"45,787",1
1505,56,156850,90,767,N,695,1667,59000,57000,0.416917,Active,non-default,AL,"38,111",1
1506,41,177000,90,648,N,1011,2329,64000,57000,0.434092,Active,non-default,TX,"41,275",1
